Each set of data will be proceeded by a header in square brackets: [].

[DESCRIPTION]
notableTrait,knownFor,calamity
a population of mostly wealthy people,flowers,being besieged by enemies

[PEOPLE]
Id,FirstName,LastName,Caste,RaceFrequency,Race,Age,Gender,Family,Spouse,Appearance,Strength,Weakness,Talent,Manuerism,Interaction,GoodOrEvilIdeal,LawfulOrChaoticIdeal,NeutralOrOtherIdeal,Bond,FlawOrSecret,RaceAge,ownedBusiness,worksAt
"1135","JEAN","AUGUSTIN","Peasant","Uncommon","Half-Elf","37","Female","AUGUSTIN [293]","DAMIAAN AUGUSTIN","Distinctive jewelry: earrings, necklace, circlet, bracelets","Dexterity - lithe, agile, graceful","Charisma - dull, boring","Great at one game","Squints","Friendly","Life or Pain","Community or Change","Balance or Aspiration","Loyal to a benefactor, patron, or employer","Specific phobia","41","",""
"1136","ELLIS","SALOMON","Peasant","Common","Human","17","Male","SALOMON [654]","","Missing fingers","Constitution - hardy, hale, healthy","Dexterity - clumsy, fumbling","Expert juggler","Speaks loudly","Curious","Greater good or Might","Logic or Independence","Knowledge or Discovery","Out for revenge","Foolhardy bravery","17","",""
"1137","WILMOT","JOHANSEN","Peasant","Common","Human","26","Male","JOHANSEN [302]","","Braided beard or hair","Wisdom - perceptive, spiritual, insightful","Charisma - dull, boring","Expert cook","Fidgets","Rude","Respect or Retribution","Logic or Independence","Knowledge or Discovery","Protective of a valuable possession","Foolhardy bravery","26","",""
"1138","CATRINA","MCNABB","Peasant","Uncommon","Half-Elf","6","Female","MCNABB [655]","","","","","","","","","","","","","6","",""
"1139","JOCK","KAUFFMANN","Peasant","Common","Human","45","Male","KAUFFMANN [299]","MILITSA KAUFFMANN","Piercings","Strength - powerful, brawny, strong as an ox","Intelligence - dim-witted, slow","Expert carpenter","Whispers","Ponderous","Beauty or Domination","Honor or Freedom","Neutrality or Redemption","Loyal to a benefactor, patron, or employer","Specific phobia","45","",""
"1140","NADEJDA","JOHANSEN","Peasant","Uncommon","Dwarf","19","Female","JOHANSEN [297]","MISHA JOHANSEN","Exceptionally beautiful","Constitution - hardy, hale, healthy","Charisma - dull, boring","Draws beautifully","Stares into the distance","Argumentative","Beauty or Domination","Honor or Freedom","People or Self-knowledge","Out for revenge","Shameful or scandalous history","52","",""

[BUSINESSES]
BusinessType,Owners,Employees,Name,Description,Inventory
"Estate","YRIAN PARRIS","ANDRINE SOUCY; AOIFE BORISOV","PARRIS Manor","",""
"Estate","DANY MACDOUGALL","GILBERTA POULIN","MACDOUGALL Manor","",""
"Estate","ELOV ROSENBERG","AAFJE HJORT","ROSENBERG Manor","",""
"Estate","KAJA MIKKELSEN","GIDIE WALLIS","MIKKELSEN Manor","",""
"Estate","BERTHA BENDTSEN","AALIS BAGER","BENDTSEN Manor","",""
"Alchemist Shop","BARTHOLOMEW BOSCH; MARYA BOSCH","ADDY SCHRADER","BARTHOLOMEW'S STORE ROOM","","Acid (vial) [25 GP]; Alchemist's fire (flask) [50 GP]; Abacus [2 GP]; Alchemist's supplies [50 GP]; Book [Simple favor (normally 25 GP)]; Flask or Tankard [2 CP]; Glass bottle [2 GP]; Hourglass [25 GP]; Ink (1 ounce bottle) [10 GP]; Ink pen [2 CP]; Jug or Pitcher [2 CP]; Kit, healer's [5 GP]; Kit, herbalism [5 GP]; Oil (flask) [1 SP]; Paper (one sheet) [2 SP]; Parchment (one sheet) [1 SP]; Perfume (vial) [5 GP]; Potion of Healing [50 GP]; Pot, iron [2 GP]; Pouch [5 SP]; Sack [1 CP]; Sealing wax [5 SP]; Soap [2 CP]; Tinderbox [5 SP]; Vial [1 GP]; Vial of Mercury [50 GP]; Phosphorus [50 GP]"
"Bakery","ELIGIUSZ CLEMENSEN; ANNIS CLEMENSEN","BENIGNO ROBERT","ELIGIUSZ'S PASTRY SHOP","","Cookie (1 dozen) [3 SP]; Hardtack (1 day ration) [5 SP]; Bread, loaf [2 CP]; Cake (bespoke) [6 GP]"
"Smithy","DOMITILLA BUCHANAN; RHYDDERCH BUCHANAN","EGBERT VINTER","THE STURDY BOLT","","Smith's tools [20 GP]; Tinker's tools [50 GP]; Woodcarver's tools [1 GP]; Chain (10 feet) [5 GP]; Crowbar [2 GP]; Grappling hook [2 GP]; Hammer [1 GP]; Hammer, sledge [2 GP]; Hunting trap [5 GP]; Manacles [2 GP]; Pick, miner's [2 GP]; Piton [5 CP]; Shovel [2 GP]; Spikes, iron (10) [1 GP]; Breastplate [400 GP]; Chain Shirt [50 GP]; Ring Mail [30 GP]; Splint [200 GP]; Plate Barding [6000 GP]; Scale Mail Barding [200 GP]; Dagger [2 GP]; Greatclub [2 SP]; Mace [5 GP]; Quarterstaff [2 SP]; Sickle [1 GP]; Dart [5 CP]; Battleaxe [10 GP]; Flail [10 GP]; Longsword [15 GP]; Morningstar [15 GP]; Scimitar [25 GP]; War Pick [5 GP]"
"Butcher Shop","ABIGAIL RAYNE; ALDEN RAYNE","NESKE BERTRAND","CHOP & BLADE","","Venison/lamb/beef roast [6 SP]; Venison/lamb/pork chops (6) [8 SP]; Venison/lamb/beef steak [6 SP]; Venison/lamb/beef/pork loin [8 SP]; Venison/lamb/beef/pork ribs [6 SP]; Venison/lamb/pork sausages (6) [6 SP]; Bacon [6 SP]"
"General Store","ERNA PARENT; ESBEN PARENT","LEOPOLD MACLEOD; ANNETTE MACLEOD","ERNA'S GOODS","","Carpenter's tools [8 GP]; Cobbler's tools [5 GP]; Cook's utensils [1 GP]; Leatherworker's tools [5 GP]; Mason's tools [10 GP]; Potter's tools [10 GP]; Smith's tools [20 GP]; Weaver's tools [1 GP]; Woodcarver's tools [1 GP]; Dice Set [1 SP]; Playing Card Set [5 SP]; Bagpipes [30 GP]; Flute [2 GP]; Horn [3 GP]; Pan Flute [12 GP]; Shawm [2 GP]; Navigator's tools [25 GP]; Dagger [2 GP]; Javelin [5 SP]; Mace [5 GP]; Sling [1 SP]; Net [1 GP]; Donkey or mule [8 GP]; Bit and bridle [2 GP]; Cart [15 GP]; Animal Feed (per day) [5 CP]; Saddle, Pack [5 GP]; Saddle, Riding [10 GP]; Saddlebags [4 GP]; Crossbow bolts (20) [1 GP]; Backpack [2 GP]; Ball bearings (bag of 1,000) [1 GP]; Barrel [2 GP]; Basket [4 SP]; Bedroll [1 GP]; Bell [1 GP]; Blanket [5 SP]; Block and tackle [1 GP]; Book [25 GP]; Glass bottle [2 GP]; Bucket [5 CP]; Caltrops (bag of 20) [1 GP]; Candle [1 CP]; Chain (10 feet) [5 GP]; Chalk (1 piece) [1 CP]; Chest [5 GP]; Clothes, Common [5 SP]; Clothes, traveler's [2 GP]; Crowbar [2 GP]; Wooden staff [5 GP]; Fishing tackle [1 GP]; Flask or Tankard [2 CP]; Grappling hook [2 GP]; Hammer [1 GP]; Hammer, sledge [2 GP]; Hunting trap [5 GP]; Ink (1 ounce bottle) [10 GP]; Ink pen [2 CP]; Jug or Pitcher [2 CP]; Kit, mess [2 SP]; Ladder (10-foot) [1 SP]; Lamp [5 SP]; Lantern, bullseye [10 GP]; Lantern, hooded [5 GP]; Lock [10 GP]; Manacles [2 GP]; Mirror, steel [5 GP]; Oil (flask) [1 SP]; Paper (one sheet) [2 SP]; Parchment (one sheet) [1 SP]; Piton [5 CP]; Pole (10-foot) [5 CP]; Pot, iron [2 GP]; Potion of Healing [50 GP]; Pouch [5 SP]; Ram, portable [4 GP]; Rations (1 day) [5 SP]; Rope, hempen (50 feet) [1 GP]; Sack [1 CP]; Scale, merchant's [5 GP]; Sealing wax [5 SP]; Shovel [2 GP]; Soap [2 CP]; Spikes, iron (10) [1 GP]; Tent, two-person [2 GP]; Tinderbox [5 SP]; Torch [1 CP]; Vial [1 GP]; Waterskin [2 SP]; Whetstone [1 CP]; Shield [10 GP]"
"Grocery","ANNUSHKA BIEBER; ADDY BIEBER","ANNE BOWEN; ANNEKE DAVIES","ANNUSHKA'S MARKET","","Animal Feed (per day) [5 CP]; Cheese, hunk [1 SP]; Meals per day (Squalid) [3 CP]; Meals per day (Poor) [6 CP]; Meals per day (Modest) [3 SP]; Meat, chunk [3 SP]; Bread, loaf [2 CP]"
"Herbs","ADRIA MONET; ANASTAS MONET","BRADY MONET","ADRIA'S HERB GATHERING","","Alchemist's supplies [50 GP]; Antitoxin [50 GP]; Kit, healer's [5 GP]; Kit, herbalism [5 GP]; Poison, basic (vial) [100 GP]; Potion of Healing [Simple favor (normally 50 GP)]; Soap [2 CP]; Sprig of mistletoe [1 GP]; Herbs or Incense (by weight) [1 GP]; Mushroom and Saffron Ointment [25 GP]"
"Horse Ranch","EVY REGENBOGEN; DUBHGHLAS REGENBOGEN","BENEDYKTA REGENBOGEN; ERMOLAI ARGALL","EVY'S RANCH","","Donkey or mule [8 GP]; Horse, draft (or Camel) [50 GP]; Horse, riding [75 GP]; Mastiff [25 GP]; Pony [30 GP]; Bit and bridle [2 GP]; Animal Feed (per day) [5 CP]; Saddle, Military [20 GP]; Saddle, Pack [5 GP]; Saddle, Riding [10 GP]; Saddlebags [4 GP]; Stabling (per day) [5 SP]; Untrained Labor (per day) [2 SP]"
"Hunting Cabin","LINNEA KRANZ; LEO KRANZ","ELS BECK; IRINA HERMANS","LINNEA'S FALCONRY","","Skilled Labor (per day) [2 GP]"
"Inn","GRY LYKKE","JOHANNA BLANCHET","GRY'S LODGE","Raucous dive","Animal Feed (per day) [5 CP]; Untrained Labor (per day) [2 SP]; Gallon of Ale [2 SP]; Mug of Ale [4 CP]; Cheese, hunk [1 SP]; Inn Stay per day (Squalid) [7 CP]; Inn Stay per day (Poor) [1 SP]; Inn Stay per day (Modest) [5 SP]; Inn Stay per day (Comfortable) [8 SP]; Inn Stay per day (Wealthy) [2 GP]; Inn Stay per day (Aristocratic) [4 GP]; Meals per day (Squalid) [3 CP]; Meals per day (Poor) [6 CP]; Meals per day (Modest) [3 SP]; Meals per day (Comfortable) [5 SP]; Meals per day (Wealthy) [8 SP]; Meals per day (Aristocratic) [2 GP]; Meat, chunk [3 SP]; Pitcher of Common Wine [2 SP]; Fine Bottle of Wine [10 GP]; Messenger (per mile) [2 CP]; Stabling (per day) [5 SP]; Bread, loaf [2 CP]; Coach Cab Beteen Towns (per mile) [3 CP]; Coach Cab within City [1 CP]"
"Leatherworking","JUSTINA PRITCHARD; ERLING PRITCHARD","AAVA MACKENZIE; PHILOMENA KONSTANTINOV","NEEDLE & GRAIN","","Hide [10 GP]; Leather [10 GP]; Padded [5 GP]; Spiked Armor [75 GP]; Studded Leather [45 GP]; Hide Barding [40 GP]; Leather Barding [40 GP]; Padded Barding [20 GP]; Spiked Armor Barding [Major favor (normally 300 GP)]"
"Tailoring","ESTERA ANDREASSEN","CYRILLE SUTHERLAND","ESTERA'S WARDROBE","","Clothes, Common [5 SP]; Clothes, costume [5 GP]; Clothes, fine [15 GP]; Clothes, traveler's [2 GP]; Robes [1 GP]"
"Tannery","ASLAUG TRAVERE; BALDWIN TRAVERE","ANNAMARIA KAUFMANN","ASLAUG'S TANNERY","","Skilled Labor (per day) [2 GP]"
"Tavern","ALFREDA MATVEEV; GENNADIY MATVEEV","SYBILLA VINTER; ADOLPHE DESROCHES","THE SLAUGHTERED BOAR","Upper-class dining club","Untrained Labor (per day) [2 SP]; Skilled Labor (per day) [2 GP]; Gallon of Ale [2 SP]; Mug of Ale [4 CP]; Cheese, hunk [1 SP]; Meals per day (Squalid) [3 CP]; Meals per day (Poor) [6 CP]; Meals per day (Modest) [3 SP]; Meals per day (Comfortable) [5 SP]; Meals per day (Wealthy) [8 SP]; Meals per day (Aristocratic) [2 GP]; Meat, chunk [3 SP]; Pitcher of Common Wine [2 SP]; Fine Bottle of Wine [10 GP]; Messenger (per mile) [2 CP]; Bread, loaf [2 CP]; Coach Cab Beteen Towns (per mile) [3 CP]; Coach Cab within City [1 CP]"
"Temple","MORVEN MASSON","DORETTA HERMANS; JEANETTE FERRO","THE BLESSED SPIRIT SHRINE","Hidden shrine to a fiend or an evil deity","Holy Water (flask) [Simple favor (normally 25 GP)]; Kit, healer's [5 GP]; Herbs and Incense [1 GP]; Reliquary with Sacred Relic [1000 GP]; Holy Symbol [5 GP]; Level 1 Spell (before components) [10 GP]; Level 2 Spell (before components) [40 GP]; Level 3 Spell (before components) [90 GP]; Level 4 Spell (before components) [160 GP]; Level 5 Spell (before components) [250 GP]; Level 6 Spell (before components) [360 GP]; Level 7 Spell (before components) [490 GP]; Level 8 Spell (before components) [640 GP]; Level 9 Spell (before components) [810 GP]"
"Weapon Shop","HEGE CECIL; OLIVER CECIL","AVDOTYA BOYD","THE DRUNKEN EDGE","","Club [1 SP]; Dagger [2 GP]; Greatclub [2 SP]; Handaxe [5 GP]; Javelin [5 SP]; Light Hammer [2 GP]; Mace [5 GP]; Quarterstaff [2 SP]; Sickle [1 GP]; Spear [1 GP]; Crossbow, light [25 GP]; Dart [5 CP]; Battleaxe [10 GP]; Flail [10 GP]; Glaive [20 GP]; Greataxe [30 GP]; Greatsword [50 GP]; Halberd [20 GP]; Lance [10 GP]; Longsword [15 GP]; Maul [10 GP]; Morningstar [15 GP]; Pike [5 GP]; Rapier [25 GP]; Scimitar [25 GP]; Shortsword [10 GP]; War Pick [5 GP]; Warhammer [15 GP]; Whip [2 GP]; Crossbow, hand [75 GP]; Caltrops (bag of 20) [1 GP]"
"Wainwright Workshop","JUSTINA GAJOS; GRISHA GAJOS","CORNELIS MASSON","JUSTINA'S WORKSHOP","","Carriage [100 GP]; Cart [15 GP]; Chariot [250 GP]; Sled [20 GP]; Wagon [35 GP]; Chest [5 GP]"
"Farm","AMORE MACANGUS; ARIANNA MACANGUS","ARLEN POULIN","AMORE'S FARM","","Untrained Labor (per day) [2 SP]; Skilled Labor (per day) [2 GP]; Mastiff [25 GP]; Animal Feed (per day) [5 CP]; Stabling (per day) [5 SP]"
"Farm","ELWIRA RUTHERFORD; DONATA RUTHERFORD","CONOR LLEWELLYN","ELWIRA'S FARM","","Untrained Labor (per day) [2 SP]; Skilled Labor (per day) [2 GP]; Stabling (per day) [5 SP]"
"Farm","ALAOIS MACKENNA; FRANKA MACKENNA","HOLGER PARRIS","ALAOIS'S FARM","","Untrained Labor (per day) [2 SP]; Skilled Labor (per day) [2 GP]; Animal Feed (per day) [5 CP]"
"Farm","ALEKSANTERI SIMON; CYNTHIA SIMON","VIKTOR MACASLAN","ALEKSANTERI'S FARM","","Untrained Labor (per day) [2 SP]; Skilled Labor (per day) [2 GP]; Donkey or mule [8 GP]; Horse, draft (or Camel) [50 GP]; Stabling (per day) [5 SP]"
"Farm","IVOR TAILLER; CINZIA TAILLER","IONA PRYCE; JOCKY STEFANSEN","IVOR'S FARM","","Untrained Labor (per day) [2 SP]; Skilled Labor (per day) [2 GP]; Animal Feed (per day) [5 CP]; Stabling (per day) [5 SP]"
"Farm","BAUDOUIN SOLBERG; CHRISTEN SOLBERG","ERLE BLUMENTHAL; MILITSA MCCONNELL","BAUDOUIN'S FARM","","Untrained Labor (per day) [2 SP]; Skilled Labor (per day) [2 GP]; Cart [15 GP]; Horse, draft (or Camel) [50 GP]"
"Farm","ANTON SOBOL","BRIDGET MCDONALD; HANNE AXELSEN","ANTON'S FARM","","Untrained Labor (per day) [2 SP]; Skilled Labor (per day) [2 GP]; Animal Feed (per day) [5 CP]; Stabling (per day) [5 SP]"
"Farm","KRYSPIN SCHRADER; PIA SCHRADER","IIRO KAUFFMANN; BASIA WOJEWODA","KRYSPIN'S FARM","","Untrained Labor (per day) [2 SP]; Skilled Labor (per day) [2 GP]; Cart [15 GP]; Animal Feed (per day) [5 CP]"
"Farm","OWEN DAVIAU; AMIE DAVIAU","DIONISIA DANIEL; BATE PASTERNACK","OWEN'S FARM","","Untrained Labor (per day) [2 SP]; Skilled Labor (per day) [2 GP]; Horse, draft (or Camel) [50 GP]; Animal Feed (per day) [5 CP]; Stabling (per day) [5 SP]"
"Farm","ERLING FILIPPOV; VERA FILIPPOV","JAGNA LENOX; DARRAGH DENIAU","ERLING'S FARM","","Untrained Labor (per day) [2 SP]; Skilled Labor (per day) [2 GP]; Animal Feed (per day) [5 CP]"
"Farm","INGMAR STORSTRAND; GEERTRUIDA STORSTRAND","WILMOT BLANCHET","INGMAR'S FARM","","Untrained Labor (per day) [2 SP]; Skilled Labor (per day) [2 GP]; Stabling (per day) [5 SP]"
"Farm","LACHIE PETIT; ELIN PETIT","BORYA CHRISTENSEN","LACHIE'S FARM","","Untrained Labor (per day) [2 SP]; Skilled Labor (per day) [2 GP]; Animal Feed (per day) [5 CP]"
"Farm","ANGELINO FRESEL; GUNDA FRESEL","CHRISTIE LYON; ALEXINA PATERSON","ANGELINO'S FARM","","Untrained Labor (per day) [2 SP]; Skilled Labor (per day) [2 GP]; Animal Feed (per day) [5 CP]"
"Farm","HENDRY JOUBERT; ANASTASIE JOUBERT","KATIA JENSEN; KAARLO ESPENSEN","HENDRY'S FARM","","Untrained Labor (per day) [2 SP]; Skilled Labor (per day) [2 GP]; Donkey or mule [8 GP]"
"Farm","JONATHAN ROME; CLARISSA ROME","JOHAN ROME; ELISABETH VINOGRADOV","JONATHAN'S FARM","","Untrained Labor (per day) [2 SP]; Skilled Labor (per day) [2 GP]; Stabling (per day) [5 SP]"
